date,year,month,season,state,state_abbr,primary_mode,etiology,serotype_or_genotype,ifsac_category,setting,illnesses,hospitalizations,deaths,outbreak_severity,food_vehicle_missing,water_exposure,water_exposure_missing,water_type,water_type_group,animal_type,animal_group,is_food_related,is_water_related,is_animal_related
2020-01-01,2020,1,Winter,Massachusetts,MA,Person-to-person,Norovirus,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,9,-0.18460740711594367,-0.0910808702943546,8.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Massachusetts,MA,Person-to-person,Norovirus,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,34,0.32847251668375016,-0.0910808702943546,34.2373916463894,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Massachusetts,MA,Person-to-person,Norovirus,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,30,-0.18460740711594367,-0.0910808702943546,29.7243117225897,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Massachusetts,MA,Person-to-person,Norovirus,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,34,-0.18460740711594367,-0.0910808702943546,33.724311722589704,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Massachusetts,MA,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Not Applicable,Long-term care/nursing home/assisted living facility,16,-0.18460740711594367,-0.0910808702943546,15.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Massachusetts,MA,Person-to-person,Norovirus,Not Applicable,Not Applicable,Hospital,3,-0.18460740711594367,-0.0910808702943546,2.7243117225897016,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Minnesota,MN,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,57,-0.18460740711594367,-0.0910808702943546,56.724311722589704,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Minnesota,MN,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,47,-0.18460740711594367,2.348211823381791,49.16360441626585,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Minnesota,MN,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,31,1.3546323642831377,-0.0910808702943546,32.263551493988786,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Minnesota,MN,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,42,-0.18460740711594367,-0.0910808702943546,41.724311722589704,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
