year,month,date,season,state,state_abbr,primary_mode,setting,etiology,etiology_grouped,ifsac_category,food_vehicle,water_exposure,water_type,water_type_group,animal_type,animal_group,illnesses,hospitalizations,deaths,illnesses_std,hospitalizations_std,deaths_std,hosp_per_ill,death_per_ill,food_vehicle_missing,water_exposure_missing,is_food_related,is_water_related,is_animal_related
2023,1,2023-01-01,Winter,Florida,FL,Water,Residence - Multi-unit housing,Legionella pneumophila,Other,Not Applicable,Not Applicable,Recreational water -- treated,Hot Tub/Spa/Whirlpool,Recreational Water,Not Applicable,Other/Unknown,2.0,2.0,0.0,-0.01997558906972797,0.3290133392649936,-0.09101070221646372,1.0,0.0,Missing,Present,0,1,0
2023,1,2023-01-01,Winter,Iowa,IA,Indeterminate/unknown,Restaurant,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,4.0,0.0,0.0,-0.018697211775304298,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Georgia,GA,Food,Grocery store/bakery/deli/convenience store,Salmonella enterica,Salmonella,Multiple,chicken salad,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,16.0,8.0,0.0,-0.01102694800876226,1.869886061638782,-0.09101070221646372,0.5,0.0,Present,Missing,1,0,0
2023,1,2023-01-01,Winter,Washington,WA,Person-to-person,Long-term care/nursing home/assisted living facility,Norovirus,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,6.0,0.0,0.0,-0.017418834480880625,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Mississippi,MS,Indeterminate/unknown,Long-term care/nursing home/assisted living facility,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,12.0,0.0,0.0,-0.013583702597609605,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Washington,WA,Person-to-person,Long-term care/nursing home/assisted living facility,Norovirus,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,9.0,0.0,0.0,-0.015501268539245116,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Wisconsin,WI,Water,Mobile home/trailer park,Legionella unknown;Legionella pneumophila,Unknown,Not Applicable,Not Applicable,Drinking water,Community,Drinking/Community Water,Not Applicable,Other/Unknown,2.0,2.0,0.0,-0.01997558906972797,0.3290133392649936,-0.09101070221646372,1.0,0.0,Missing,Present,0,1,0
2023,1,2023-01-01,Winter,Oregon,OR,Indeterminate/unknown,School/college/university,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,2.0,0.0,0.0,-0.01997558906972797,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Illinois,IL,Person-to-person,School/college/university,Norovirus unknown,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,53.0,0.0,0.0,0.012623031938075685,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Illinois,IL,Person-to-person,School/college/university,Norovirus unknown,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,21.0,0.0,0.0,-0.00783100477270308,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
