"Date","Year","Month","season","State","state_abbr","Primary Mode","Etiology","Illnesses","Hospitalizations","Deaths","outbreak_severity","Water Exposure","Water Type","Animal Type","is_food_related","is_water_related","is_animal_related"
"1976-04",1976,4,"Spring","Pennsylvania","PA","Water","Unknown",30,0,0,30,"Drinking water","Other",NA,0,1,0
"1976-04",1976,4,"Spring","Pennsylvania","PA","Water","Unknown",4,0,0,4,"Drinking water","Other",NA,0,1,0
"1976-05",1976,5,"Spring","Pennsylvania","PA","Water","Unknown",35,0,0,35,"Drinking water","Other",NA,0,1,0
"1976-05",1976,5,"Spring","Washington","WA","Water","Giardia duodenalis",600,0,0,600,"Drinking water","Community",NA,0,1,0
"1976-05",1976,5,"Spring","California","CA","Water","Unknown",60,0,0,60,"Drinking water","Other",NA,0,1,0
"1976-05",1976,5,"Spring","California","CA","Water","Unknown",46,0,0,46,"Drinking water","Community",NA,0,1,0
"1976-05",1976,5,"Spring","Colorado","CO","Water","Unknown",10,0,0,10,"Drinking water","Other",NA,0,1,0
"1976-06",1976,6,"Summer","Pennsylvania","PA","Water","Unknown",10,0,0,10,"Drinking water","Other",NA,0,1,0
"1976-06",1976,6,"Summer","Pennsylvania","PA","Water","Unknown",26,0,0,26,"Drinking water","Other",NA,0,1,0
"1976-06",1976,6,"Summer","Pennsylvania","PA","Water","Unknown",5,0,0,5,"Drinking water","Other",NA,0,1,0
"1976-06",1976,6,"Summer","Idaho","ID","Water","Unknown",100,0,0,100,"Drinking water","Other",NA,0,1,0
"1976-06",1976,6,"Summer","Connecticut","CT","Water","Unknown",300,0,0,300,"Drinking water","Other",NA,0,1,0
"1976-06",1976,6,"Summer","Colorado","CO","Water","Giardia duodenalis",27,0,0,27,"Drinking water","Other",NA,0,1,0
"1976-06",1976,6,"Summer","Pennsylvania","PA","Water","Unknown",34,0,0,34,"Drinking water","Other",NA,0,1,0
"1976-07",1976,7,"Summer","Pennsylvania","PA","Water","Legionella unknown",182,145,29,356,"Undetermined water",NA,NA,0,1,0
"1976-07",1976,7,"Summer","Puerto Rico",NA,"Water","Shigella sonnei",0,0,0,0,"Drinking water","Community",NA,0,1,0
"1976-07",1976,7,"Summer","Pennsylvania","PA","Water","Unknown",10,0,0,10,"Drinking water","Other",NA,0,1,0
"1976-07",1976,7,"Summer","Pennsylvania","PA","Water","Unknown",150,0,0,150,"Drinking water","Other",NA,0,1,0
